layer,name,direction,path,parser,encoder,runtime,tests,golden_vector,runtime_references,test_references,blockers,relevance,phase
CMCE,CmceFunctionNotSupported,nicht klassifiziert,crates/tetra-pdus/src/cmce/pdus/cmce_function_not_supported.rs,teilweise,teilweise,blockiert,vorhanden,vorhanden,16,3,FIXME;TODO;unimplemented!,"Calls, Single-/Multi-Site",Phase 5/13 – Call Control/SS
CMCE,DAlert,Downlink,crates/tetra-pdus/src/cmce/pdus/d_alert.rs,vorhanden,vorhanden,offene Hinweise,fehlt,nicht nachgewiesen,10,0,FIXME;TODO,"Calls, Single-/Multi-Site",Phase 5/13 – Call Control/SS
CMCE,DCallProceeding,Downlink,crates/tetra-pdus/src/cmce/pdus/d_call_proceeding.rs,vorhanden,vorhanden,offene Hinweise,fehlt,nicht nachgewiesen,10,0,FIXME;TODO,"Calls, Single-/Multi-Site",Phase 5/13 – Call Control/SS
CMCE,DCallRestore,Downlink,crates/tetra-pdus/src/cmce/pdus/d_call_restore.rs,vorhanden,vorhanden,offene Hinweise,vorhanden,nicht nachgewiesen,13,3,FIXME;TODO,"Calls, Single-/Multi-Site",Phase 5 – CMCE Restore
CMCE,DConnect,Downlink,crates/tetra-pdus/src/cmce/pdus/d_connect.rs,vorhanden,vorhanden,offene Hinweise,vorhanden,vorhanden,31,9,FIXME;TODO,"Calls, Single-/Multi-Site",Phase 5/13 – Call Control/SS
CMCE,DConnectAcknowledge,Downlink,crates/tetra-pdus/src/cmce/pdus/d_connect_acknowledge.rs,vorhanden,vorhanden,offene Hinweise,vorhanden,vorhanden,22,10,FIXME;TODO,"Calls, Single-/Multi-Site",Phase 5/13 – Call Control/SS
CMCE,DDisconnect,Downlink,crates/tetra-pdus/src/cmce/pdus/d_disconnect.rs,vorhanden,vorhanden,offene Hinweise,fehlt,nicht nachgewiesen,10,0,FIXME;TODO,"Calls, Single-/Multi-Site",Phase 5/13 – Call Control/SS
CMCE,DFacility,Downlink,crates/tetra-pdus/src/cmce/pdus/d_facility.rs,vorhanden,vorhanden,offene Hinweise,fehlt,nicht nachgewiesen,6,0,FIXME;TODO,"Calls, Single-/Multi-Site",Phase 5/13 – Call Control/SS
CMCE,DInfo,Downlink,crates/tetra-pdus/src/cmce/pdus/d_info.rs,vorhanden,vorhanden,offene Hinweise,fehlt,nicht nachgewiesen,10,0,FIXME;TODO,"Calls, Single-/Multi-Site",Phase 5/13 – Call Control/SS
CMCE,DRelease,Downlink,crates/tetra-pdus/src/cmce/pdus/d_release.rs,vorhanden,vorhanden,offene Hinweise,vorhanden,vorhanden,13,1,FIXME;TODO,"Calls, Single-/Multi-Site",Phase 5/13 – Call Control/SS
