service,host,port,webui,unit
node-gateway,10.0.20.10,8080,http://10.0.20.10:8080/,netcore-node-gateway.service
mobility-core,10.0.20.11,8090,http://10.0.20.11:8090/,netcore-mobility-core.service
subscriber-core,10.0.20.12,8100,http://10.0.20.12:8100/,netcore-subscriber-core.service
group-core,10.0.20.13,8110,http://10.0.20.13:8110/,netcore-group-core.service
call-control,10.0.20.14,8120,http://10.0.20.14:8120/,netcore-call-control.service
media-switch,10.0.20.15,8130,http://10.0.20.15:8130/,netcore-media-switch.service
recorder,10.0.20.16,8140,http://10.0.20.16:8140/,netcore-recorder.service
sds-router,10.0.20.17,8150,http://10.0.20.17:8150/,netcore-sds-router.service
packet-core,10.0.20.18,8160,http://10.0.20.18:8160/,netcore-packet-core.service
ip-gateway,10.0.20.19,8170,http://10.0.20.19:8170/,netcore-ip-gateway.service
security-core,10.0.20.20,8180,http://10.0.20.20:8180/,netcore-security-core.service
kmf,10.0.20.21,8190,http://10.0.20.21:8190/,netcore-kmf.service
transit,10.0.20.22,8200,http://10.0.20.22:8200/,netcore-transit.service
application-gateway,10.0.20.23,8220,http://10.0.20.23:8220/,netcore-application-gateway.service
media-library,10.0.20.24,8230,http://10.0.20.24:8230/,netcore-media-library.service
control-room,10.0.20.25,9010,http://10.0.20.25:9010/,netcore-control-room.service
observability,10.0.20.26,8210,http://10.0.20.26:8210/,netcore-observability.service
